ORDERDATE,QTR_ID,MONTH_ID,YEAR_ID,date_id
2/24/2003 0:00,1,2,2003,0
5/7/2003 0:00,2,5,2003,1
7/1/2003 0:00,3,7,2003,2
8/25/2003 0:00,3,8,2003,3
10/10/2003 0:00,4,10,2003,4
10/28/2003 0:00,4,10,2003,5
11/11/2003 0:00,4,11,2003,6
11/18/2003 0:00,4,11,2003,7
12/1/2003 0:00,4,12,2003,8
1/15/2004 0:00,1,1,2004,9
2/20/2004 0:00,1,2,2004,10
4/5/2004 0:00,2,4,2004,11
5/18/2004 0:00,2,5,2004,12
6/28/2004 0:00,2,6,2004,13
7/23/2004 0:00,3,7,2004,14
8/27/2004 0:00,3,8,2004,15
9/30/2004 0:00,3,9,2004,16
10/15/2004 0:00,4,10,2004,17
11/2/2004 0:00,4,11,2004,18
11/15/2004 0:00,4,11,2004,19
11/24/2004 0:00,4,11,2004,20
12/17/2004 0:00,4,12,2004,21
2/3/2005 0:00,1,2,2005,22
3/3/2005 0:00,1,3,2005,23
4/8/2005 0:00,2,4,2005,24
5/13/2005 0:00,2,5,2005,25
1/29/2003 0:00,1,1,2003,26
3/24/2003 0:00,1,3,2003,27
5/28/2003 0:00,2,5,2003,28
7/24/2003 0:00,3,7,2003,29
9/19/2003 0:00,3,9,2003,30
10/20/2003 0:00,4,10,2003,31
11/6/2003 0:00,4,11,2003,32
11/13/2003 0:00,4,11,2003,33
11/25/2003 0:00,4,11,2003,34
12/5/2003 0:00,4,12,2003,35
1/29/2004 0:00,1,1,2004,36
3/10/2004 0:00,1,3,2004,37
5/4/2004 0:00,2,5,2004,38
6/15/2004 0:00,2,6,2004,39
7/19/2004 0:00,3,7,2004,40
8/17/2004 0:00,3,8,2004,41
9/8/2004 0:00,3,9,2004,42
10/11/2004 0:00,4,10,2004,43
10/21/2004 0:00,4,10,2004,44
11/4/2004 0:00,4,11,2004,45
11/18/2004 0:00,4,11,2004,46
11/29/2004 0:00,4,11,2004,47
12/10/2004 0:00,4,12,2004,48
1/20/2005 0:00,1,1,2005,49
2/17/2005 0:00,1,2,2005,50
3/9/2005 0:00,1,3,2005,51
5/1/2005 0:00,2,5,2005,52
5/31/2005 0:00,2,5,2005,53
4/29/2003 0:00,2,4,2003,54
1/12/2004 0:00,1,1,2004,55
4/3/2004 0:00,2,4,2004,56
9/27/2004 0:00,3,9,2004,57
11/23/2004 0:00,4,11,2004,58
2/2/2005 0:00,1,2,2005,59
4/7/2005 0:00,2,4,2005,60
1/5/2005 0:00,1,1,2005,61
2/11/2003 0:00,1,2,2003,62
4/28/2003 0:00,2,4,2003,63
6/12/2003 0:00,2,6,2003,64
8/10/2003 0:00,3,8,2003,65
10/6/2003 0:00,4,10,2003,66
10/23/2003 0:00,4,10,2003,67
11/8/2003 0:00,4,11,2003,68
11/14/2003 0:00,4,11,2003,69
11/26/2003 0:00,4,11,2003,70
1/9/2004 0:00,1,1,2004,71
2/19/2004 0:00,1,2,2004,72
5/7/2004 0:00,2,5,2004,73
6/17/2004 0:00,2,6,2004,74
7/21/2004 0:00,3,7,2004,75
8/20/2004 0:00,3,8,2004,76
9/10/2004 0:00,3,9,2004,77
10/14/2004 0:00,4,10,2004,78
11/1/2004 0:00,4,11,2004,79
11/5/2004 0:00,4,11,2004,80
11/21/2004 0:00,4,11,2004,81
12/2/2004 0:00,4,12,2004,82
12/15/2004 0:00,4,12,2004,83
1/31/2005 0:00,1,1,2005,84
2/23/2005 0:00,1,2,2005,85
3/17/2005 0:00,1,3,2005,86
4/1/2005 0:00,2,4,2005,87
5/6/2005 0:00,2,5,2005,88
4/1/2003 0:00,2,4,2003,89
10/21/2003 0:00,4,10,2003,90
12/9/2003 0:00,4,12,2003,91
2/4/2004 0:00,1,2,2004,92
3/11/2004 0:00,1,3,2004,93
8/19/2004 0:00,3,8,2004,94
10/13/2004 0:00,4,10,2004,95
10/22/2004 0:00,4,10,2004,96
11/19/2004 0:00,4,11,2004,97
3/3/2003 0:00,1,3,2003,98
5/8/2003 0:00,2,5,2003,99
7/2/2003 0:00,3,7,2003,100
9/5/2003 0:00,3,9,2003,101
11/4/2003 0:00,4,11,2003,102
11/12/2003 0:00,4,11,2003,103
11/20/2003 0:00,4,11,2003,104
12/2/2003 0:00,4,12,2003,105
2/22/2004 0:00,1,2,2004,106
4/9/2004 0:00,2,4,2004,107
6/1/2004 0:00,2,6,2004,108
7/6/2004 0:00,3,7,2004,109
8/2/2004 0:00,3,8,2004,110
8/30/2004 0:00,3,8,2004,111
10/4/2003 0:00,4,10,2003,112
10/16/2004 0:00,4,10,2004,113
11/3/2004 0:00,4,11,2004,114
1/6/2005 0:00,1,1,2005,115
5/17/2005 0:00,2,5,2005,116
4/16/2003 0:00,2,4,2003,117
6/3/2003 0:00,2,6,2003,118
8/8/2003 0:00,3,8,2003,119
9/28/2003 0:00,3,9,2003,120
10/22/2003 0:00,4,10,2003,121
1/2/2004 0:00,1,1,2004,122
2/12/2004 0:00,1,2,2004,123
3/19/2004 0:00,1,3,2004,124
5/5/2004 0:00,2,5,2004,125
7/20/2004 0:00,3,7,2004,126
9/9/2004 0:00,3,9,2004,127
11/20/2004 0:00,4,11,2004,128
1/23/2005 0:00,1,1,2005,129
5/5/2005 0:00,2,5,2005,130
3/26/2003 0:00,1,3,2003,131
2/2/2004 0:00,1,2,2004,132
2/21/2004 0:00,1,2,2004,133
1/31/2003 0:00,1,1,2003,134
3/15/2004 0:00,1,3,2004,135
1/26/2005 0:00,1,1,2005,136
10/11/2003 0:00,4,10,2003,137
1/16/2004 0:00,1,1,2004,138
2/8/2005 0:00,1,2,2005,139
12/1/2004 0:00,4,12,2004,140
3/23/2005 0:00,1,3,2005,141
2/9/2005 0:00,1,2,2005,142
4/4/2003 0:00,2,4,2003,143
8/1/2003 0:00,3,8,2003,144
9/21/2003 0:00,3,9,2003,145
2/10/2004 0:00,1,2,2004,146
5/3/2005 0:00,2,5,2005,147
4/12/2004 0:00,2,4,2004,148
8/4/2004 0:00,3,8,2004,149
4/14/2005 0:00,2,4,2005,150
3/10/2003 0:00,1,3,2003,151
7/4/2003 0:00,3,7,2003,152
9/11/2003 0:00,3,9,2003,153
10/17/2003 0:00,4,10,2003,154
11/5/2003 0:00,4,11,2003,155
4/13/2004 0:00,2,4,2004,156
8/6/2004 0:00,3,8,2004,157
10/5/2003 0:00,4,10,2003,158
11/17/2004 0:00,4,11,2004,159
12/9/2004 0:00,4,12,2004,160
1/7/2005 0:00,1,1,2005,161
3/4/2005 0:00,1,3,2005,162
4/15/2005 0:00,2,4,2005,163
1/10/2003 0:00,1,1,2003,164
3/25/2003 0:00,1,3,2003,165
5/21/2003 0:00,2,5,2003,166
7/16/2003 0:00,3,7,2003,167
9/12/2003 0:00,3,9,2003,168
10/18/2003 0:00,4,10,2003,169
11/21/2003 0:00,4,11,2003,170
12/3/2003 0:00,4,12,2003,171
3/2/2004 0:00,1,3,2004,172
4/29/2004 0:00,2,4,2004,173
6/8/2004 0:00,2,6,2004,174
9/3/2004 0:00,3,9,2004,175
2/16/2005 0:00,1,2,2005,176
5/30/2005 0:00,2,5,2005,177
3/18/2003 0:00,1,3,2003,178
5/20/2003 0:00,2,5,2003,179
7/10/2003 0:00,3,7,2003,180
2/26/2004 0:00,1,2,2004,181
9/1/2004 0:00,3,9,2004,182
1/12/2005 0:00,1,1,2005,183
2/10/2005 0:00,1,2,2005,184
4/22/2005 0:00,2,4,2005,185
2/17/2003 0:00,1,2,2003,186
6/16/2003 0:00,2,6,2003,187
11/27/2003 0:00,4,11,2003,188
5/11/2004 0:00,2,5,2004,189
6/24/2004 0:00,2,6,2004,190
8/21/2004 0:00,3,8,2004,191
9/15/2004 0:00,3,9,2004,192
11/10/2004 0:00,4,11,2004,193
11/22/2004 0:00,4,11,2004,194
12/3/2004 0:00,4,12,2004,195
3/1/2005 0:00,1,3,2005,196
3/30/2005 0:00,1,3,2005,197
5/10/2005 0:00,2,5,2005,198
1/6/2003 0:00,1,1,2003,199
1/26/2004 0:00,1,1,2004,200
11/25/2004 0:00,4,11,2004,201
5/29/2005 0:00,2,5,2005,202
1/10/2005 0:00,1,1,2005,203
10/6/2004 0:00,4,10,2004,204
2/22/2005 0:00,1,2,2005,205
1/9/2003 0:00,1,1,2003,206
4/26/2004 0:00,2,4,2004,207
4/23/2005 0:00,2,4,2005,208
6/27/2003 0:00,2,6,2003,209
4/2/2004 0:00,2,4,2004,210
9/16/2004 0:00,3,9,2004,211
12/4/2004 0:00,4,12,2004,212
4/3/2005 0:00,2,4,2005,213
6/4/2004 0:00,2,6,2004,214
6/14/2004 0:00,2,6,2004,215
7/16/2004 0:00,3,7,2004,216
3/10/2005 0:00,1,3,2005,217
6/6/2003 0:00,2,6,2003,218
11/7/2003 0:00,4,11,2003,219
2/18/2004 0:00,1,2,2004,220
3/20/2004 0:00,1,3,2004,221
3/15/2005 0:00,1,3,2005,222
11/9/2004 0:00,4,11,2004,223
5/26/2004 0:00,2,5,2004,224
7/2/2004 0:00,3,7,2004,225
9/7/2004 0:00,3,9,2004,226
11/16/2004 0:00,4,11,2004,227
12/7/2004 0:00,4,12,2004,228
9/3/2003 0:00,3,9,2003,229
6/30/2004 0:00,2,6,2004,230
8/28/2004 0:00,3,8,2004,231
5/8/2004 0:00,2,5,2004,232
11/12/2004 0:00,4,11,2004,233
5/9/2005 0:00,2,5,2005,234
9/25/2003 0:00,3,9,2003,235
1/22/2004 0:00,1,1,2004,236
10/29/2004 0:00,4,10,2004,237
7/7/2004 0:00,3,7,2004,238
8/9/2004 0:00,3,8,2004,239
11/19/2003 0:00,4,11,2003,240
1/19/2005 0:00,1,1,2005,241
10/2/2003 0:00,4,10,2003,242
3/29/2004 0:00,1,3,2004,243
2/28/2005 0:00,1,2,2005,244
4/20/2004 0:00,2,4,2004,245
3/2/2005 0:00,1,3,2005,246
4/11/2003 0:00,2,4,2003,247
8/13/2003 0:00,3,8,2003,248
10/8/2003 0:00,4,10,2003,249
3/28/2005 0:00,1,3,2005,250
4/21/2003 0:00,2,4,2003,251
